Recurrent TD3 Training Log
1,-2077.07
2,-2058.06
3,-1724.70
4,-2057.01
5,-65.15
6,-1598.27
7,-2083.93
8,-1828.01
9,-1783.81
10,-2035.51
11,-2036.26
12,-72.87
13,-1979.61
14,-2035.25
15,-1868.07
16,-1783.97
17,-1852.73
18,-1923.35
19,-1913.27
20,-2047.66
21,-1986.38
22,-1861.50
23,-2014.46
24,-1634.63
25,-2044.49
26,-1807.62
27,-1787.95
28,-1833.21
29,-1776.33
30,-1988.70
31,-1941.80
32,-1763.57
33,-2036.07
34,-1742.83
35,-1445.16
36,-1936.36
37,-1627.43
38,-1852.22
39,-1982.97
40,-1557.99
41,-1891.56
42,-1825.45
43,-1948.51
44,-1791.85
45,-1970.35
46,-1977.32
47,-1873.85
48,-2105.11
49,-1652.80
50,-1570.93
51,-1774.86
52,-1952.05
53,-1797.29
54,-1893.72
55,-1789.10
56,-1855.50
57,-2063.16
58,-2076.27
59,-1767.77
60,-1915.32
61,-2067.78
62,-1844.14
63,-1791.86
64,-1966.43
65,-1874.88
66,-1942.60
67,-1843.52
68,-2076.89
69,-1986.97
70,-1987.05
71,-1923.28
72,-1691.73
73,-1631.97
74,-2129.90
75,-1728.82
76,-1940.75
77,-1975.46
78,-1894.77
79,-1615.86
80,-1994.21
81,-1733.85
82,-1972.26
83,-1815.28
84,-2041.06
85,-1804.10
86,-1822.20
87,-1899.50
88,-1977.02
89,-1472.86
